Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Infraction Score,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Total Actions
Gustaf Lagerbielke,SWE,DF,0,400,0,1,3,0,3,0,3,0.13,0.0,0,0,8,50,14,206,173,83.98,1,0,1,7,57,1,100,1,3,0,0,0,1,0,,,,
Tajon Buchanan,CAN,FW,0,401,0,3,6,0,3,3,0,0.68,0.0,1,0,29,136,32,95,76,80.0,17,18,6,9,56,1,100,5,8,0,0,0,2,0,,,,
Mbekezeli Mbokazi,RSA,DF,0,402,0,1,4,0,0,4,0,0.06,0.0,0,0,9,49,16,213,185,86.85,2,0,2,7,57,3,67,3,4,0,0,0,1,0,,,,
Khuliso Mudau,RSA,DF,0,402,0,0,0,0,0,0,0,0.0,0.0,0,0,32,82,16,187,168,89.84,5,20,3,5,20,0,0,4,10,0,0,0,1,0,,,,
Ime Okon,RSA,DF,0,402,0,0,1,0,1,0,1,0.01,0.0,0,0,3,22,5,280,257,91.79,0,0,0,2,50,2,50,1,1,0,0,0,0,0,,,,
Ronwen Williams,RSA,GK,0,402,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,237,179,75.53,0,0,0,7,29,3,67,0,0,0,0,0,0,0,14.0,72.0,59.0,131.0
Ramy Bensebaini,ALG,DF,0,403,0,0,2,0,1,1,1,0.04,0.0,0,0,7,36,11,385,359,93.25,0,0,1,8,38,1,100,1,5,0,0,0,0,0,,,,
Fares Chaibi,ALG,MF,0,403,0,3,9,0,4,5,1,0.64,0.0,4,0,30,140,16,244,220,90.16,7,0,3,10,50,3,100,3,2,1,0,0,1,1,,,,
Aissa Mandi,ALG,DF,0,403,0,0,0,0,0,0,0,0.0,0.0,0,0,14,19,6,382,357,93.46,0,0,0,5,20,10,90,0,5,0,0,0,0,0,,,,
Vitinha,POR,MF,0,404,0,0,4,0,0,4,0,0.12,0.0,0,0,19,124,13,403,379,94.04,0,0,2,7,71,11,100,4,5,0,0,0,0,0,,,,
Hiroki Ito,JPN,DF,0,405,0,0,1,0,0,1,0,0.04,0.0,0,0,23,34,14,199,178,89.45,10,20,0,11,27,2,50,7,0,0,0,0,0,0,,,,
Zion Suzuki,JPN,GK,0,405,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,109,76,69.72,0,0,0,6,17,0,0,0,1,0,0,0,0,0,17.0,78.0,64.0,142.0
Aiden Oneill,AUS,MF,0,406,0,0,2,0,1,1,0,0.07,0.0,4,0,25,105,15,172,142,82.56,8,50,3,12,42,3,33,2,8,0,0,0,0,0,,,,
Moises Caicedo,ECU,MF,0,407,0,1,4,0,1,3,1,0.19,0.0,8,0,16,83,28,295,264,89.49,16,44,0,13,54,3,100,5,4,1,0,0,0,1,,,,
Hernan Galindez,ECU,GK,0,407,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,105,70,66.67,0,0,0,5,60,0,0,0,0,0,0,0,0,0,12.0,68.0,63.0,131.0
Willian Pacho,ECU,DF,0,407,0,1,1,0,1,0,1,0.11,0.0,0,0,10,51,12,238,217,91.18,0,0,1,2,0,0,0,3,2,0,0,0,0,0,,,,
Yahia Fofana,CIV,GK,0,408,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,114,74,64.91,0,0,0,1,100,0,0,0,3,0,0,0,0,0,11.0,84.0,68.0,152.0
Lionel Mpasi,COD,GK,0,409,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,139,94,67.63,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15.0,83.0,70.0,153.0
Axel Tuanzebe,COD,DF,0,409,0,0,0,0,0,0,0,0.0,0.0,0,0,6,20,10,155,140,90.32,0,0,0,0,0,2,100,3,3,0,0,0,0,0,,,,
Mohanad Lashin,EGY,MF,0,409,0,0,2,0,1,1,1,0.12,0.0,0,0,23,156,42,191,169,88.48,2,0,2,7,29,6,100,5,3,2,0,0,0,2,,,,
Idrissa Gana Gueye,SEN,MF,0,411,0,1,5,0,0,5,0,0.12,0.0,0,0,24,91,23,270,243,90.0,1,0,0,8,63,5,100,2,2,0,0,0,0,0,,,,
Nikola Vasilj,BIH,GK,0,411,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,155,94,60.65,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8.0,92.0,70.0,162.0
Alexander Schlager,AUT,GK,0,412,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,123,106,86.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.0,85.0,74.0,159.0
Johan Vasquez,MEX,DF,0,412,0,0,1,0,1,0,1,0.22,0.0,0,0,7,14,6,237,221,93.25,0,0,0,4,50,1,100,0,2,1,0,0,0,1,,,,
Dominik Livakovic,CRO,GK,0,413,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,129,95,73.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.0,80.0,68.0,148.0
Josip Sutalo,CRO,DF,0,413,0,0,1,0,1,0,0,0.06,0.0,0,0,4,17,9,267,241,90.26,0,0,3,4,0,7,71,2,1,0,0,0,0,0,,,,
Gideon Mensah,GHA,DF,0,414,0,0,0,0,0,0,0,0.0,0.0,0,0,10,63,18,182,156,85.71,3,0,1,6,33,2,100,2,2,0,0,0,0,0,,,,
Antoine Semenyo,GHA,MF,0,414,0,0,6,0,3,3,1,0.26,0.0,0,0,26,123,20,68,52,76.47,5,0,5,5,60,0,0,6,4,0,0,0,4,0,,,,
Ruben Dias,POR,DF,0,418,0,0,0,0,0,0,0,0.0,0.0,0,0,12,27,6,249,233,93.57,0,0,1,6,33,1,100,6,3,1,0,0,0,1,,,,
Jonathan Tah,GER,DF,0,419,0,1,1,0,1,0,1,0.03,0.0,0,0,5,27,9,375,364,97.07,1,0,1,3,100,1,100,5,1,0,0,0,0,0,,,,
Matt Freese,USA,GK,0,419,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,95,63,66.32,0,0,0,2,0,0,0,0,2,0,0,0,0,0,10.0,58.0,48.0,106.0
Chris Richards,USA,DF,0,419,0,0,1,0,1,0,1,0.06,0.0,0,0,4,22,11,291,277,95.19,0,0,0,2,0,2,100,8,3,1,0,0,0,1,,,,
Tim Ream,USA,DF,0,419,0,0,0,0,0,0,0,0.0,0.0,0,0,3,16,6,298,281,94.3,0,0,2,6,33,5,100,0,2,0,0,0,0,0,,,,
Luc De Fougerolles,CAN,DF,0,421,0,1,3,0,3,0,1,0.17,0.0,0,0,17,41,22,191,170,89.01,1,0,0,6,67,1,0,8,8,2,0,0,0,2,,,,
Ayyoub Bouaddi,MAR,MF,0,425,0,0,3,0,0,3,0,0.14,0.0,0,0,23,113,36,264,237,89.77,0,0,6,1,100,1,100,3,6,0,0,0,0,0,,,,
Manu Kone,FRA,MF,0,426,0,2,6,0,1,5,0,0.19,0.0,0,0,24,91,23,263,242,92.02,1,0,2,3,100,2,50,6,7,1,0,0,0,1,,,,
Ramy Rabia,EGY,DF,0,431,0,1,1,0,1,0,1,0.1,0.0,0,0,12,31,11,244,224,91.8,0,0,0,2,50,8,50,3,2,0,0,0,0,0,,,,
Jesus Gallardo,MEX,DF,0,431,0,0,4,0,2,2,0,0.12,0.0,0,0,7,69,19,167,140,83.83,19,21,3,11,18,2,100,7,3,0,0,0,0,0,,,,
Bart Verbruggen,NED,GK,0,432,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,123,89,72.36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17.0,57.0,54.0,111.0
Patrick Beach,AUS,GK,0,435,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,122,79,64.75,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14.0,91.0,76.0,167.0
Alessandro Circati,AUS,DF,0,438,0,0,3,0,2,1,2,0.13,0.0,0,0,12,48,28,221,177,80.09,1,0,1,10,60,4,75,5,4,1,0,0,0,1,,,,
Harry Souttar,AUS,DF,0,438,0,1,1,0,1,0,1,0.05,0.0,0,0,4,18,6,199,171,85.93,0,0,1,8,38,3,33,8,1,1,0,0,0,1,,,,
Johan Mojica,COL,DF,0,442,0,2,3,0,1,2,1,0.13,0.0,0,0,11,45,3,202,161,79.7,12,17,0,8,38,1,100,1,7,1,0,0,1,1,,,,
Manuel Neuer,GER,GK,0,442,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,129,118,91.47,0,0,0,1,0,0,0,0,2,0,0,0,0,0,7.0,61.0,45.0,106.0
Vozinha,CPV,GK,0,445,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,166,117,70.48,0,0,1,2,0,0,0,0,3,0,0,0,0,0,18.0,136.0,102.0,238.0
Pico Lopes,CPV,DF,0,445,0,0,2,0,2,0,2,0.29,0.0,0,0,6,36,9,182,153,84.07,0,0,0,7,14,5,60,0,3,0,0,0,0,0,,,,
Diney Borges,CPV,DF,0,445,0,2,4,0,3,1,3,0.18,0.0,0,1,5,29,16,195,158,81.03,0,0,0,8,13,9,44,2,0,1,0,0,0,1,,,,
Junior Alonso,PAR,DF,0,456,0,1,3,0,1,2,0,0.2,0.0,0,0,31,140,16,116,69,59.48,1,0,0,7,29,2,100,3,3,1,0,0,1,1,,,,
Jefferson Lerma,COL,MF,0,459,0,1,5,0,2,3,0,0.24,0.0,0,0,13,77,8,274,242,88.32,2,50,1,2,0,1,100,6,5,1,0,0,0,1,,,,
Krepin Diatta,SEN,DF,0,459,0,0,1,0,0,1,0,0.04,0.0,2,0,7,44,13,283,255,90.11,10,40,6,4,75,1,100,4,6,0,0,0,0,0,,,,
Danilo,BRA,DF,0,471,0,0,1,0,1,0,0,0.04,0.0,0,0,3,50,8,294,262,89.12,7,29,1,6,50,1,100,7,1,2,0,0,1,2,,,,
Richie Laryea,CAN,DF,0,475,0,1,2,0,1,1,0,0.34,0.0,0,0,22,79,28,202,167,82.67,4,25,2,15,60,1,100,8,13,1,0,0,1,1,,,,
Djed Spence,ENG,DF,0,476,0,2,2,0,1,1,0,0.71,0.0,0,0,25,135,28,201,177,88.06,9,0,5,17,65,0,0,3,5,0,0,0,0,0,,,,
Juan Jose Caceres,PAR,DF,0,488,0,1,2,0,1,1,0,0.07,0.0,0,0,17,154,41,129,80,62.02,9,11,6,13,31,2,50,9,6,1,0,0,0,1,,,,
Maxim De Cuyper,BEL,DF,0,492,0,6,10,0,5,5,0,1.09,0.0,4,0,18,77,19,246,203,82.52,16,25,3,9,44,2,100,7,2,1,0,0,0,1,,,,
Raul Rangel,MEX,GK,0,494,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,155,120,77.42,0,0,0,4,0,1,100,1,0,0,0,0,0,0,8.0,57.0,46.0,103.0
Bilal El Khannouss,MAR,MF,0,501,0,4,6,0,2,4,1,0.28,0.0,2,0,15,127,19,238,186,78.15,14,14,6,23,65,2,100,5,5,1,0,0,0,1,,,,
Torbjorn Heggem,NOR,DF,0,503,0,1,1,0,1,0,0,0.61,0.0,0,0,2,30,10,301,282,93.69,0,0,1,4,25,0,0,2,0,0,0,0,0,0,,,,
Weston Mckennie,USA,MF,0,504,0,1,5,0,4,1,2,0.6,0.0,0,0,22,102,21,220,173,78.64,11,27,6,27,74,4,75,8,2,1,0,0,0,1,,,,
Douglas Santos,BRA,DF,0,505,0,0,2,0,2,0,0,0.2,0.0,0,0,21,111,42,275,256,93.09,6,17,0,5,60,0,0,3,2,1,0,0,1,1,,,,
