Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Infraction Score,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Total Actions
Kylian Mbappe,FRA,FW,10,769,4,23,41,24,27,14,0,6.54,1.53,5,0,18,166,15,232,201,86.64,10,10,28,31,81,12,92,6,9,1,0,0,7,1,,,,
Lionel Messi,ARG,FW,8,853,4,19,35,23,16,19,0,6.18,1.29,38,0,26,194,23,367,288,78.47,46,39,25,36,58,5,80,3,20,0,0,0,5,0,,,,
Jude Bellingham,ENG,MF,7,698,1,13,19,37,16,3,4,3.92,1.79,0,0,22,234,31,231,191,82.68,9,11,14,21,48,6,100,9,17,1,0,0,1,1,,,,
Erling Haaland,NOR,FW,7,537,0,12,19,37,18,1,7,4.62,1.51,0,0,11,108,5,47,34,72.34,1,0,1,4,25,0,0,5,3,0,0,0,0,0,,,,
Ousmane Dembele,FRA,FW,6,648,2,10,20,30,13,7,1,2.1,2.86,17,0,28,257,16,297,236,79.46,36,17,9,29,62,6,83,0,4,0,0,0,3,0,,,,
Harry Kane,ENG,FW,6,732,1,11,23,26,18,5,5,3.69,1.63,0,0,25,262,22,99,73,73.74,3,33,1,11,55,2,100,8,9,0,0,0,2,0,,,,
Mikel Oyarzabal,ESP,FW,5,664,1,12,23,22,16,7,5,4.33,1.14,0,0,58,272,16,149,124,83.22,8,13,2,4,25,2,50,4,5,0,0,0,1,0,,,,
Ismaila Sarr,SEN,FW,4,419,1,6,17,24,15,2,2,3.68,1.09,0,0,18,157,11,73,57,78.08,2,0,4,10,50,0,0,1,9,0,0,0,2,0,,,,
Julian Quinones,MEX,FW,4,440,1,6,14,29,8,6,2,2.27,1.76,0,0,13,162,12,135,111,82.22,4,50,5,7,100,2,100,5,7,0,0,0,1,0,,,,
Vinicius Junior,BRA,FW,4,505,1,11,17,24,14,3,1,3.24,1.23,2,0,24,172,10,142,116,81.69,15,40,23,21,76,4,100,4,10,0,0,0,3,0,,,,
Bukayo Saka,ENG,FW,3,411,3,7,13,23,11,2,1,1.72,1.74,5,0,7,85,21,101,81,80.2,23,22,12,11,73,2,100,4,9,0,0,0,4,0,,,,
Deniz Undav,GER,FW,3,174,2,4,6,50,5,1,0,1.43,2.1,0,0,6,53,7,31,23,74.19,2,0,0,4,50,0,0,3,0,0,0,0,0,0,,,,
Johan Manzambi,SUI,MF,3,220,2,3,6,50,4,2,0,0.63,4.73,0,0,14,102,13,54,43,79.63,7,43,5,7,57,0,0,3,3,0,0,0,1,0,,,,
Romelu Lukaku,BEL,FW,3,279,1,3,6,50,6,0,2,0.77,3.91,0,0,5,56,1,42,32,76.19,0,0,1,3,67,0,0,2,0,1,0,0,1,1,,,,
Lautaro Martinez,ARG,FW,3,368,1,4,10,30,9,1,2,2.17,1.38,0,0,26,181,19,71,60,84.51,2,50,1,2,50,0,0,8,5,1,0,0,2,1,,,,
Charles De Ketelaere,BEL,FW,3,385,1,5,6,50,6,0,3,1.51,1.98,0,0,19,146,18,91,72,79.12,5,0,3,13,46,1,0,2,3,0,0,0,2,0,,,,
Cody Gakpo,NED,FW,3,394,1,6,10,30,8,2,2,1.35,2.23,1,0,15,127,7,100,79,79.0,10,10,7,18,67,1,0,3,3,0,0,0,3,0,,,,
Bradley Barcola,FRA,FW,3,432,1,5,10,30,7,3,1,1.99,1.51,0,0,21,134,25,117,106,90.6,7,14,11,11,73,0,0,5,1,1,0,0,1,1,,,,
Brian Brobbey,NED,FW,3,245,0,3,4,75,4,0,0,1.4,2.14,0,0,18,53,2,21,18,85.71,1,0,1,0,0,0,0,4,3,0,0,0,2,0,,,,
Elijah Just,NZL,MF,3,291,0,5,7,43,5,2,0,0.86,3.48,0,0,19,152,18,99,85,85.86,1,0,4,5,20,2,50,3,2,1,0,0,0,1,,,,
Matheus Cunha,BRA,FW,3,324,0,4,10,30,5,5,1,1.21,2.49,3,0,9,133,16,90,78,86.67,5,0,3,11,36,0,0,1,3,0,0,0,1,0,,,,
Folarin Balogun,USA,FW,3,348,0,5,14,21,14,0,2,2.02,1.49,0,0,29,106,7,44,30,68.18,6,0,4,6,67,0,0,3,8,1,1,0,3,4,,,,
Raul Jimenez,MEX,FW,3,348,0,7,18,17,13,5,7,3.0,1.0,0,0,27,87,10,66,48,72.73,1,0,1,8,63,0,0,7,2,0,0,0,2,0,,,,
Kai Havertz,GER,FW,3,392,0,7,12,25,11,1,7,2.0,1.5,0,0,19,99,14,117,101,86.32,3,67,1,2,0,0,0,3,4,1,0,0,1,1,,,,
Yoane Wissa,COD,FW,3,409,0,3,11,27,7,4,2,1.79,1.68,0,0,11,118,5,69,60,86.96,2,0,1,5,40,0,0,5,9,0,0,0,1,0,,,,
Ismael Saibari,MAR,MF,3,411,0,3,10,30,7,3,1,1.01,2.97,0,0,32,181,17,95,80,84.21,7,29,4,8,75,1,100,8,3,0,0,0,3,0,,,,
Jonathan David,CAN,FW,3,475,0,9,18,17,13,5,0,2.71,1.11,0,0,45,227,21,103,76,73.79,6,0,1,10,60,1,100,5,5,1,0,0,0,1,,,,
Cristiano Ronaldo,POR,FW,3,490,0,9,18,17,15,3,0,2.94,1.02,0,0,7,72,6,99,86,86.87,1,0,0,4,25,0,0,2,5,0,0,0,6,0,,,,
Crysencio Summerville,NED,FW,2,282,2,2,2,100,1,1,0,0.16,12.33,3,0,17,75,13,67,56,83.58,8,13,5,6,83,0,0,2,5,1,0,0,1,1,,,,
Breel Embolo,SUI,FW,2,531,2,5,10,20,8,2,2,2.58,0.78,0,0,40,177,25,72,56,77.78,1,0,2,8,63,0,0,9,11,2,1,1,4,7,,,,
Leandro Trossard,BEL,FW,2,561,2,4,17,12,10,7,0,1.67,1.2,0,0,26,168,12,199,171,85.93,11,45,10,11,55,4,75,4,8,0,0,0,1,0,,,,
Soufiane Rahimi,MAR,FW,2,215,1,4,6,33,5,1,2,1.59,1.26,0,0,5,73,11,37,27,72.97,5,40,2,5,40,0,0,5,6,0,0,0,2,0,,,,
Nicolas Pepe,CIV,FW,2,255,1,3,6,33,5,1,0,1.42,1.41,6,0,19,97,15,109,93,85.32,10,30,5,10,60,0,0,1,1,1,0,0,1,1,,,,
Pape Gueye,SEN,MF,2,257,1,3,8,25,1,7,0,0.37,5.4,0,0,7,51,10,161,138,85.71,3,33,1,13,54,5,100,4,2,1,0,0,0,1,,,,
Maxi Araujo,URU,MF,2,278,1,3,4,50,3,1,2,1.09,1.83,10,0,10,79,11,57,50,87.72,18,44,7,7,86,0,0,2,7,0,0,0,6,0,,,,
Riyad Mahrez,ALG,FW,2,288,1,3,6,33,4,2,0,1.49,1.34,5,0,22,102,13,147,127,86.39,9,33,0,9,67,6,100,1,7,0,0,0,1,0,,,,
Ramin Rezaeian,IRN,DF,2,309,1,2,4,50,4,0,0,0.97,2.06,7,0,9,82,10,98,68,69.39,17,29,1,12,50,0,0,2,3,0,0,0,1,0,,,,
Ruben Vargas,SUI,FW,2,314,1,4,6,33,4,2,0,1.31,1.53,11,0,14,94,19,88,65,73.86,24,25,7,16,44,0,0,6,6,0,0,0,2,0,,,,
Ayase Ueda,JPN,FW,2,349,1,4,9,22,5,4,2,0.63,3.15,0,0,11,173,9,35,26,74.29,1,0,4,4,50,0,0,6,4,0,0,0,1,0,,,,
Mostafa Zico,EGY,MF,2,398,1,3,8,25,7,1,2,1.1,1.82,0,0,15,192,31,83,57,68.67,2,50,0,7,43,1,100,6,5,0,0,0,2,0,,,,
Malik Tillman,USA,MF,2,415,1,4,8,25,5,3,0,0.73,2.75,10,0,15,115,25,163,129,79.14,15,27,7,18,50,2,100,3,14,1,0,0,0,1,,,,
Ermin Mahmic,BIH,MF,2,88,0,2,4,50,2,2,0,0.34,5.88,0,0,1,41,3,16,12,75.0,1,0,0,0,0,1,100,1,1,1,0,0,0,1,,,,
Habib Diarra,SEN,MF,2,168,0,1,3,67,2,1,0,0.54,3.68,0,0,12,73,14,54,52,96.3,1,0,0,2,50,0,0,2,2,0,0,0,0,0,,,,
Marko Arnautovic,AUT,FW,2,173,0,3,3,67,3,0,0,1.31,1.53,0,0,5,35,1,32,25,78.12,1,0,0,0,0,0,0,3,1,1,0,0,5,1,,,,
Amad Diallo,CIV,FW,2,211,0,4,8,25,6,2,0,1.44,1.39,4,0,8,54,12,73,69,94.52,7,29,7,4,100,1,100,0,2,0,0,0,1,0,,,,
Cyle Larin,CAN,FW,2,224,0,4,9,22,9,0,3,1.27,1.58,0,0,8,76,6,23,20,86.96,0,0,1,1,0,0,0,5,1,2,0,0,3,2,,,,
Anthony Elanga,SWE,FW,2,247,0,3,3,67,2,1,0,0.53,3.77,1,0,10,31,1,76,60,78.95,12,0,3,9,33,0,0,0,7,0,0,0,1,0,,,,
Mikel Merino,ESP,MF,2,262,0,3,5,40,5,0,1,1.57,1.27,0,0,24,107,10,101,89,88.12,1,0,2,4,75,2,100,6,8,0,0,0,0,0,,,,
Daichi Kamada,JPN,MF,2,359,0,0,1,200,0,1,0,0.09,23.09,1,0,13,116,22,200,170,85.0,4,50,1,6,50,3,100,2,4,1,0,0,1,1,,,,
Yasin Ayari,SWE,MF,2,371,0,3,7,29,1,6,0,0.44,4.59,9,0,21,100,22,107,84,78.5,17,29,2,2,0,3,67,4,8,1,0,0,0,1,,,,
Emam Ashour,EGY,MF,2,395,0,2,10,20,5,5,1,1.06,1.89,4,0,19,72,12,207,176,85.02,3,0,3,7,57,3,100,2,13,0,0,0,0,0,,,,
Dan Ndoye,SUI,FW,2,437,0,8,16,13,15,1,1,0.86,2.31,0,0,32,141,20,92,73,79.35,13,15,8,10,50,0,0,5,16,0,0,0,4,0,,,,
Daniel Munoz,COL,DF,2,451,0,2,3,67,3,0,0,0.64,3.11,0,0,11,64,20,213,194,91.08,9,22,0,5,20,0,0,9,1,0,0,0,3,0,,,,
Azzedine Ounahi,MAR,MF,2,477,0,3,5,40,1,4,0,0.33,6.13,2,0,26,199,17,315,281,89.21,6,33,8,17,65,3,100,3,7,1,0,0,0,1,,,,
Youri Tielemans,BEL,MF,2,538,0,3,11,18,7,4,2,1.5,1.33,5,0,19,120,24,255,221,86.67,14,21,3,10,50,5,60,7,10,0,0,0,1,0,,,,
Pedro Porro,ESP,DF,2,640,0,3,7,29,4,3,1,1.1,1.82,0,0,36,81,20,420,379,90.24,19,26,3,17,35,9,100,10,9,0,0,0,0,0,,,,
Enzo Fernandez,ARG,MF,2,755,0,4,12,17,4,8,2,0.9,2.22,0,0,46,204,28,519,480,92.49,5,40,5,21,71,8,88,12,6,2,1,1,1,7,,,,
Andreas Schjelderup,NOR,MF,1,297,3,2,3,33,3,0,0,0.2,5.12,0,0,18,68,14,104,89,85.58,7,14,4,9,56,2,50,2,3,0,0,0,0,0,,,,
Alexander Isak,SWE,FW,1,389,3,6,8,13,5,3,1,0.68,1.48,0,0,5,110,15,81,65,80.25,4,0,3,5,60,2,50,4,1,0,0,0,5,0,,,,
Anthony Gordon,ENG,FW,1,442,3,4,6,17,6,0,2,0.7,1.43,0,0,27,151,15,113,96,84.96,10,20,10,18,72,0,0,4,10,0,0,0,0,0,,,,
Iliman Ndiaye,SEN,FW,1,134,2,2,3,33,2,1,0,0.21,4.76,0,0,6,41,8,59,53,89.83,2,0,6,4,50,0,0,2,1,0,0,0,0,0,,,,
Nathan Saliba,CAN,MF,1,206,2,1,3,33,1,2,1,0.3,3.36,0,0,11,43,12,93,79,84.95,4,25,1,4,75,1,100,5,2,1,0,0,0,1,,,,
Hans Vanaken,BEL,MF,1,362,2,1,5,20,4,1,0,0.64,1.56,0,0,12,145,8,164,153,93.29,3,0,1,2,50,2,100,0,6,0,0,0,0,0,,,,
Viktor Gyokeres,SWE,FW,1,400,2,6,12,8,9,3,0,1.39,0.72,0,0,14,75,4,70,48,68.57,1,100,1,8,50,1,100,4,7,1,0,0,1,1,,,,
Julio Enciso,PAR,FW,1,431,2,1,8,13,6,2,1,0.74,1.36,2,0,20,209,17,68,55,80.88,7,43,11,3,33,2,50,3,10,0,0,0,0,0,,,,
Mohamed Salah,EGY,FW,1,469,2,4,9,11,7,2,1,0.95,1.05,15,0,18,150,9,136,112,82.35,16,19,4,9,44,0,0,5,13,0,0,0,1,0,,,,
Declan Rice,ENG,MF,1,622,2,3,6,17,3,3,1,0.31,3.23,30,0,11,120,18,340,312,91.76,40,38,2,12,50,4,75,4,0,2,0,0,1,2,,,,
Achraf Hakimi,MAR,DF,1,650,2,4,14,7,6,8,0,0.96,1.04,21,0,19,93,30,449,402,89.53,38,32,11,7,86,6,83,7,16,1,0,0,0,1,,,,
Promise David,CAN,FW,1,105,1,3,5,20,3,2,1,0.75,1.34,0,0,6,23,1,16,8,50.0,0,0,0,1,0,1,100,4,2,0,0,0,0,0,,,,
Baris Alper Yilmaz,TUR,FW,1,200,1,0,1,100,0,1,0,0.06,16.87,0,0,24,37,5,38,29,76.32,15,0,7,12,67,2,0,4,1,0,0,0,2,0,,,,
Rafael Leao,POR,FW,1,203,1,1,4,25,3,1,0,0.33,3.07,3,0,5,35,4,82,71,86.59,8,50,12,8,63,2,50,1,2,0,0,0,0,0,,,,
Trezeguet,EGY,FW,1,204,1,3,8,13,6,2,3,0.71,1.4,0,0,6,46,4,81,68,83.95,3,0,4,5,40,1,100,3,2,0,0,0,0,0,,,,
Mousa Altamari,JOR,FW,1,230,1,3,8,13,4,4,0,1.13,0.89,0,0,10,82,7,36,28,77.78,1,100,3,4,75,0,0,2,3,0,0,0,1,0,,,,
Sebastian Berhalter,USA,MF,1,231,1,1,3,33,0,3,0,0.1,10.14,12,0,9,63,17,136,114,83.82,9,78,1,10,80,3,67,5,7,1,0,0,0,1,,,,
Marcus Rashford,ENG,FW,1,258,1,5,12,8,9,3,2,1.03,0.97,0,0,2,60,3,104,92,88.46,19,11,7,19,79,1,100,5,1,0,0,0,1,0,,,,
Luis Romo,MEX,MF,1,284,1,1,3,33,1,2,0,0.1,10.05,0,0,14,71,12,106,93,87.74,2,50,0,5,40,0,0,1,3,0,0,0,0,0,,,,
Hwang Inbeom,KOR,MF,1,286,1,2,4,25,2,2,0,0.37,2.74,0,0,20,62,10,218,193,88.53,3,67,1,5,80,2,100,1,1,0,0,0,0,0,,,,
Felix Nmecha,GER,MF,1,299,1,3,8,13,3,5,0,0.49,2.04,0,0,9,74,21,131,120,91.6,2,0,5,4,75,1,0,3,3,0,0,0,0,0,,,,
Kaishu Sano,JPN,MF,1,303,1,1,1,100,0,1,0,0.09,11.52,0,0,10,108,14,131,124,94.66,1,100,2,1,100,1,100,4,1,1,0,0,0,1,,,,
Nathaniel Brown,GER,DF,1,319,1,2,3,33,3,0,0,0.21,4.87,11,0,3,64,21,131,115,87.79,19,32,2,6,67,0,0,4,1,0,0,0,0,0,,,,
Keito Nakamura,JPN,MF,1,330,1,2,5,20,2,3,0,0.17,5.98,0,0,9,80,11,117,100,85.47,9,33,5,10,80,0,0,3,1,0,0,0,1,0,,,,
Petar Sucic,CRO,MF,1,338,1,2,3,33,1,2,0,0.14,7.07,0,0,11,152,25,127,110,86.61,6,17,2,5,20,1,100,7,6,1,0,0,1,1,,,,
Ferran Torres,ESP,FW,1,349,1,4,14,7,13,1,5,2.72,0.37,0,0,8,94,11,86,63,73.26,6,0,2,12,50,0,0,6,4,1,0,0,3,1,,,,
Ivan Perisic,CRO,FW,1,413,1,2,2,50,2,0,1,0.32,3.15,2,0,12,88,13,150,132,88.0,19,16,2,9,56,1,100,4,1,2,0,0,0,2,,,,
Virgil Van Dijk,NED,DF,1,432,1,2,2,50,2,0,2,0.14,7.26,0,0,10,11,4,347,330,95.1,0,0,1,1,100,1,100,2,2,0,0,0,0,0,,,,
Matias Galarza,PAR,MF,1,439,1,1,2,50,0,2,0,0.07,13.75,0,0,42,197,61,113,82,72.57,4,25,2,6,33,0,0,10,9,2,0,0,0,2,,,,
Alex Freeman,USA,DF,1,442,1,1,4,25,4,0,3,0.78,1.28,0,0,17,64,20,283,256,90.46,4,0,13,9,67,4,75,1,1,0,0,0,0,0,,,,
Desire Doue,FRA,FW,1,449,1,8,13,8,4,9,1,0.71,1.41,2,0,14,202,23,196,167,85.2,5,40,10,15,47,3,100,4,8,0,0,0,0,0,,,,
Alex Baena,ESP,MF,1,522,1,5,12,8,4,8,0,0.5,2.0,28,0,24,152,25,218,178,81.65,44,18,5,18,67,2,100,13,8,1,0,0,2,1,,,,
Luis Diaz,COL,FW,1,525,1,7,19,5,15,4,0,1.47,0.68,3,0,29,103,11,166,145,87.35,6,17,7,14,50,10,100,7,9,0,0,0,9,0,,,,
Lisandro Martinez,ARG,DF,1,708,1,2,4,25,2,2,0,0.2,5.09,0,0,11,31,13,450,422,93.78,3,0,2,9,67,1,100,7,4,2,0,0,0,2,,,,
Alexis Mac Allister,ARG,MF,1,869,1,4,13,8,10,3,9,1.92,0.52,0,0,36,239,37,430,393,91.4,1,0,1,3,33,3,100,9,12,1,0,0,0,1,,,,
Kaan Ayhan,TUR,MF,1,11,0,1,1,100,1,0,0,0.68,1.48,0,0,0,1,1,3,1,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Mattias Svanberg,SWE,MF,1,25,0,2,3,33,2,1,0,0.23,4.26,0,0,0,5,1,7,7,100.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,
Mahmoud Saber,EGY,MF,1,51,0,1,3,33,1,2,0,0.16,6.15,0,0,3,10,1,34,30,88.24,1,100,1,1,0,0,0,2,1,1,0,0,0,1,,,,
Nadhir Benbouali,ALG,FW,1,52,0,2,2,50,2,0,2,0.16,6.14,0,0,6,19,4,8,6,75.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Neymar Jr,BRA,FW,1,55,0,2,3,33,3,0,0,0.82,1.22,5,0,0,39,7,26,21,80.77,7,14,1,2,0,0,0,1,1,1,0,0,0,1,,,,
Fiston Mayele,COD,FW,1,55,0,1,5,20,4,1,1,0.72,1.39,0,0,3,23,0,11,7,63.64,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,,
Goncalo Ramos,POR,FW,1,58,0,1,2,50,2,0,2,0.13,7.42,0,0,5,32,3,11,10,90.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Giovani Lo Celso,ARG,MF,1,64,0,1,1,100,0,1,0,0.15,6.61,1,0,8,23,6,51,47,92.16,1,100,0,0,0,0,0,1,1,0,0,0,1,0,,,,
Hassan Alhaydos,QAT,FW,1,69,0,1,1,100,1,0,0,0.66,1.51,0,0,8,46,1,14,10,71.43,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,
Jovo Lukic,BIH,FW,1,77,0,2,3,33,3,0,3,0.46,2.18,0,0,5,34,2,13,7,53.85,0,0,0,1,0,0,0,1,0,1,0,0,0,1,,,,
Mateo Chavez,MEX,DF,1,81,0,1,1,100,1,0,0,0.49,2.04,0,0,5,18,3,26,23,88.46,1,0,2,2,50,0,0,1,1,0,0,0,0,0,,,,
Sasa Kalajdzic,AUT,FW,1,88,0,1,3,33,2,1,2,0.39,2.58,0,0,8,40,2,24,16,66.67,1,0,1,2,0,1,0,2,2,0,0,0,0,0,,,,
Hazem Mastouri,TUN,FW,1,92,0,2,3,33,1,2,1,0.21,4.8,0,0,1,38,4,10,7,70.0,1,100,1,0,0,0,0,2,2,0,0,0,0,0,,,,
Jaminton Campaz,COL,FW,1,98,0,3,6,17,3,3,1,0.64,1.56,0,0,5,41,5,18,12,66.67,3,0,5,2,50,2,100,2,3,0,0,0,2,0,,,,
Thelo Aasgaard,NOR,MF,1,100,0,1,2,50,1,1,0,0.18,5.48,0,0,3,19,3,43,38,88.37,0,0,0,1,100,1,100,0,3,0,0,0,0,0,,,,
Gessime Yassine,MAR,MF,1,101,0,1,2,50,1,1,0,0.45,2.21,1,0,1,22,6,39,34,87.18,1,0,2,2,50,3,67,2,3,0,0,0,0,0,,,,
Alexis Saelemaekers,BEL,MF,1,107,0,1,4,25,3,1,0,0.14,7.01,1,0,4,25,1,42,33,78.57,2,50,2,2,100,0,0,0,2,0,0,0,2,0,,,,
Alvaro Fidalgo,MEX,MF,1,117,0,2,3,33,2,1,0,0.35,2.85,0,0,6,35,4,77,72,93.51,3,0,0,3,0,2,100,0,2,0,0,0,0,0,,,,
Petar Musa,CRO,FW,1,119,0,1,1,100,1,0,0,0.34,2.91,0,0,9,76,11,11,7,63.64,0,0,1,3,33,0,0,1,1,0,0,0,0,0,,,,
Auston Trusty,USA,DF,1,123,0,2,3,33,3,0,1,0.27,3.7,0,0,5,31,6,50,38,76.0,2,0,0,2,0,1,100,2,0,0,0,0,0,0,,,,
Aymen Hussein,IRQ,FW,1,128,0,1,3,33,3,0,3,0.18,5.42,0,1,5,60,3,16,12,75.0,0,0,0,3,67,0,0,2,1,0,0,0,0,0,,,,
Helio Varela,CPV,MF,1,130,0,1,3,33,0,3,0,0.26,3.91,0,0,5,39,2,29,27,93.1,1,0,2,3,100,0,0,1,2,0,0,0,1,0,,,,
Oh Hyeongyu,KOR,FW,1,145,0,2,4,25,4,0,2,0.6,1.67,0,0,4,51,5,22,15,68.18,1,0,1,2,50,0,0,0,1,0,0,0,0,0,,,,
Nico Schlotterbeck,GER,DF,1,152,0,2,2,50,2,0,2,0.25,4.01,0,0,18,7,6,123,110,89.43,0,0,1,3,67,4,75,2,1,0,0,0,0,0,,,,
Giovanni Reyna,USA,MF,1,155,0,1,2,50,2,0,0,0.22,4.61,0,0,8,46,6,94,79,84.04,1,0,1,9,78,1,100,1,2,0,0,0,0,0,,,,
Brian Cipenga,COD,FW,1,160,0,1,6,17,2,4,0,0.23,4.32,1,0,10,72,14,47,28,59.57,11,18,6,12,8,0,0,2,1,0,0,0,1,0,,,,
Ante Budimir,CRO,FW,1,168,0,1,3,33,3,0,1,0.46,2.18,0,0,13,76,13,10,6,60.0,0,0,0,2,0,0,0,6,4,0,0,0,0,0,,,,
Gabriel Martinelli,BRA,FW,1,171,0,1,2,50,1,1,0,0.49,2.04,0,0,6,60,9,65,59,90.77,3,33,1,3,67,0,0,4,4,0,0,0,0,0,,,,
Leo Ostigard,NOR,DF,1,184,0,1,3,33,3,0,3,0.32,3.16,0,0,1,8,3,99,84,84.85,0,0,0,0,0,4,25,2,2,0,0,0,0,0,,,,
Omar Rekik,TUN,DF,1,200,0,1,1,100,1,0,1,0.11,8.73,0,0,5,17,5,93,77,82.8,2,0,0,4,25,1,100,0,1,0,0,0,1,0,,,,
Wilson Isidor,HAI,FW,1,201,0,2,5,20,2,3,1,0.15,6.67,0,0,7,88,1,21,18,85.71,0,0,0,1,100,0,0,3,2,0,0,0,1,0,,,,
Ibrahim Mbaye,SEN,FW,1,203,0,1,4,25,4,0,0,0.29,3.43,0,0,2,41,6,67,63,94.03,8,13,4,9,44,0,0,0,2,0,0,0,0,0,,,,
Michal Sadilek,CZE,MF,1,204,0,3,7,14,5,2,1,0.7,1.42,5,0,10,75,4,84,69,82.14,11,18,0,4,50,2,100,0,3,0,0,0,0,0,,,,
Nikola Vlasic,CRO,MF,1,204,0,1,3,33,2,1,1,0.2,5.07,0,0,14,82,9,40,33,82.5,3,67,2,3,67,0,0,5,0,0,0,0,2,0,,,,
Derrick Luckassen,GHA,DF,1,205,0,1,1,100,1,0,0,0.62,1.62,0,0,2,8,4,125,109,87.2,0,0,0,3,0,1,100,1,2,0,0,0,0,0,,,,
Mauricio,PAR,MF,1,208,0,3,4,25,2,2,0,0.32,3.12,5,0,10,75,4,69,54,78.26,12,17,1,4,25,1,100,3,3,0,0,0,0,0,,,,
Nilson Angulo,ECU,FW,1,240,0,2,2,50,0,2,0,0.04,25.98,7,0,7,83,18,78,63,80.77,8,38,16,14,50,0,0,4,3,0,0,0,0,0,,,,
Abbosbek Fayzullaev,UZB,MF,1,240,0,2,3,33,2,1,1,1.0,1.0,5,0,17,137,27,36,24,66.67,9,22,1,2,50,1,100,6,4,0,0,0,0,0,,,,
Junya Ito,JPN,MF,1,242,0,1,3,33,2,1,0,0.67,1.49,11,0,6,77,5,85,65,76.47,17,35,3,10,60,1,100,2,5,0,0,0,0,0,,,,
Livano Comenencia,CUW,MF,1,253,0,2,5,20,2,3,0,0.31,3.25,0,0,13,102,19,62,50,80.65,1,100,2,4,50,0,0,4,1,1,0,0,0,1,,,,
Thapelo Maseko,RSA,FW,1,255,0,1,8,13,4,4,0,0.47,2.13,1,0,9,97,23,49,37,75.51,2,0,8,5,40,0,0,4,10,0,0,0,0,0,,,,
Agustin Canobbio,URU,MF,1,261,0,1,4,25,4,0,1,0.75,1.33,0,0,16,107,16,68,61,89.71,9,33,2,5,60,0,0,7,5,0,1,0,1,3,,,,
Abdulelah Alamri,KSA,DF,1,268,0,2,4,25,3,1,1,0.93,1.07,0,0,7,23,5,99,81,81.82,1,100,0,3,67,0,0,1,0,1,0,0,0,1,,,,
Amine Gouiri,ALG,FW,1,270,0,2,3,33,2,1,0,0.62,1.61,0,0,7,126,12,58,51,87.93,1,0,1,0,0,0,0,1,1,0,0,0,0,0,,,,
Daizen Maeda,JPN,MF,1,271,0,1,2,50,2,0,1,0.79,1.27,0,0,18,125,22,30,28,93.33,3,0,0,1,100,0,0,2,1,0,0,0,1,0,,,,
Mohammad Mohebbi,IRN,MF,1,271,0,1,2,50,2,0,1,0.24,4.15,0,0,8,133,15,69,49,71.01,1,0,0,3,33,1,0,1,1,0,0,0,0,0,,,,
Marcus Holmgren Pedersen,NOR,DF,1,273,0,1,1,100,1,0,0,0.16,6.1,0,0,7,50,12,107,87,81.31,7,43,0,4,0,0,0,3,1,0,0,0,0,0,,,,
John Mcginn,SCO,MF,1,277,0,1,3,33,3,0,0,0.56,1.78,4,0,5,89,3,55,47,85.45,9,56,1,7,57,1,0,2,11,0,0,0,0,0,,,,
Romano Schmid,AUT,MF,1,283,0,1,2,50,0,2,0,0.12,8.48,0,0,14,142,18,91,65,71.43,4,50,1,5,40,1,100,3,4,0,0,0,0,0,,,,
Nestory Irankunda,AUS,FW,1,285,0,3,6,17,4,2,1,0.81,1.23,0,0,13,116,3,44,32,72.73,1,0,1,1,100,1,0,4,5,0,0,0,0,0,,,,
Nizar Alrashdan,JOR,MF,1,289,0,1,2,50,2,0,1,0.23,4.3,0,0,15,149,17,80,62,77.5,0,0,5,7,43,2,100,5,4,0,0,0,0,0,,,,
Ali Olwan,JOR,FW,1,297,0,3,6,17,4,2,1,0.25,3.93,0,0,11,154,7,48,36,75.0,8,38,6,4,50,1,100,1,4,0,0,0,1,0,,,,
Deroy Duarte,CPV,MF,1,300,0,2,3,33,1,2,0,0.12,8.28,0,0,13,137,26,101,87,86.14,1,100,0,2,50,1,100,4,1,0,0,0,0,0,,,,
Ladislav Krejci,CZE,DF,1,301,0,1,5,20,5,0,5,0.54,1.85,0,0,2,30,10,160,135,84.38,2,50,0,2,50,1,100,6,2,1,0,0,0,1,,,,
Teboho Mokoena,RSA,MF,1,301,0,2,4,25,1,3,0,0.84,1.19,0,0,13,95,22,196,176,89.8,3,0,1,6,50,4,100,3,6,2,0,0,0,2,,,,
